player,team,shots,goals,xG,xG_per_shot,conversion_rate
Adam Hložek,Bayer Leverkusen,19,2,3.01,0.158,0.105
Alassane Pléa,Borussia Mönchengladbach,1,0,0.023,0.023,0.0
Alejandro Grimaldo García,Bayer Leverkusen,71,10,5.209,0.073,0.141
Alex Král,Union Berlin,2,0,0.047,0.024,0.0
Amine Adli,Bayer Leverkusen,27,4,3.085,0.114,0.148
Andrej Kramarić,Hoffenheim,2,0,0.173,0.086,0.0
András Schäfer,Union Berlin,1,0,0.025,0.025,0.0
Angelo Stiller,VfB Stuttgart,1,0,0.04,0.04,0.0
Ansgar Knauff,Eintracht Frankfurt,1,0,0.106,0.106,0.0
Anthony Caci,FSV Mainz 05,1,0,0.026,0.026,0.0
Anthony Losilla,Bochum,1,0,0.042,0.042,0.0
Anton Stach,Hoffenheim,2,1,0.051,0.026,0.5
Anwar El Ghazi,FSV Mainz 05,1,0,0.042,0.042,0.0
Arne Engels,Augsburg,1,0,0.083,0.083,0.0
Arthur Augusto de Matos Soares,Bayer Leverkusen,2,0,0.035,0.018,0.0
Atakan Karazor,VfB Stuttgart,1,0,0.031,0.031,0.0
Aurélio Gabriel Ulineia Buta,Eintracht Frankfurt,1,0,0.032,0.032,0.0
Aymen Barkok,FSV Mainz 05,1,0,0.054,0.054,0.0
Aïssa Bilal Laïdouni,Union Berlin,1,0,0.017,0.017,0.0
Benedikt Gimber,FC Heidenheim,1,0,0.068,0.068,0.0
Benjamin Henrichs,RB Leipzig,6,0,0.354,0.059,0.0
Benjamin Šeško,RB Leipzig,3,0,0.422,0.141,0.0
Bernardo Fernandes da Silva Junior,Bochum,1,0,0.046,0.046,0.0
Borja Iglesias Quintas,Bayer Leverkusen,8,0,1.192,0.149,0.0
Brajan Gruda,FSV Mainz 05,1,0,0.026,0.026,0.0
Chris Führich,VfB Stuttgart,6,2,1.097,0.183,0.333
Christian Günter,Freiburg,2,0,0.052,0.026,0.0
Christoph Zimmermann,Darmstadt 98,1,0,0.038,0.038,0.0
Christopher Antwi-Adjej,Bochum,1,0,0.063,0.063,0.0
Cédric Zesiger,Wolfsburg,1,0,0.032,0.032,0.0
Dan-Axel Zagadou,VfB Stuttgart,1,0,0.076,0.076,0.0
Daniel Olmo Carvajal,RB Leipzig,2,1,0.129,0.065,0.5
Davie Selke,FC Köln,1,0,0.1,0.1,0.0
Dayotchanculle Upamecano,Bayern Munich,1,0,0.051,0.051,0.0
Dejan Ljubicic,FC Köln,2,0,0.204,0.102,0.0
Deniz Undav,VfB Stuttgart,9,1,0.629,0.07,0.111
Diogo Filipe Monteiro Pinto Leite,Union Berlin,1,0,0.078,0.078,0.0
Dominik Kohr,FSV Mainz 05,3,1,0.298,0.099,0.333
Edimilson Fernandes,FSV Mainz 05,1,0,0.011,0.011,0.0
Edmond Fayçal Tapsoba,Bayer Leverkusen,12,0,1.009,0.084,0.0
Emir Karic,Darmstadt 98,2,0,0.136,0.068,0.0
Emre Can,Borussia Dortmund,1,0,0.142,0.142,0.0
Eren Sami Dinkçi,FC Heidenheim,1,1,0.08,0.08,1.0
Eric Junior Dina Ebimbe,Eintracht Frankfurt,1,0,0.048,0.048,0.0
Eric Martel,FC Köln,2,0,0.736,0.368,0.0
Ermedin Demirović,Augsburg,6,0,0.388,0.065,0.0
Exequiel Alejandro Palacios,Bayer Leverkusen,21,4,2.694,0.128,0.19
Fares Chaïbi,Eintracht Frankfurt,5,0,0.259,0.052,0.0
Faride Alidou,FC Köln,1,0,0.065,0.065,0.0
Finn Ole Becker,Hoffenheim,1,0,0.013,0.013,0.0
Florian Neuhaus,Borussia Mönchengladbach,1,0,0.039,0.039,0.0
Florian Pick,FC Heidenheim,1,0,0.025,0.025,0.0
